p_SubscriptionId,p_SubscriberNo,p_BAN
606125383,3702964623,603299053
606125384,3702964624,603299054
606125388,3702964628,603299058
606125387,3702964627,603299057
606125385,3702964625,603299055
606125386,3702964626,603299056
606125390,3702964630,603299060
606125389,3702964629,603299059
606125392,3702964632,603299062
606125393,3702964633,603299063
606125396,3702964636,603299066
606125394,3702964634,603299064
606125397,3702964637,603299067
606125395,3702964635,603299065
606125399,3702964639,603299069
606125398,3702964638,603299068
606125400,3702964640,603299070
606125402,3702964642,603299072
606125401,3702964641,603299071
606125405,3702964645,603299075
606125404,3702964644,603299074
606125403,3702964643,603299073
606125406,3702964646,603299076
606125407,3702964647,603299077
606125410,3702964650,603299080
606125409,3702964649,603299079
606125414,3702964654,603299084
606125411,3702964651,603299081
606125413,3702964653,603299083
606125412,3702964652,603299082
606125408,3702964648,603299078
606125416,3702964656,603299086
606125417,3702964657,603299087
606125419,3702964659,603299089
606125418,3702964658,603299088
606125421,3702964661,603299091
606125420,3702964660,603299090
606125422,3702964662,603299092
606125423,3702964663,603299093
606125426,3702964666,603299096
606125424,3702964664,603299094
606125425,3702964665,603299095
606125427,3702964667,603299097
606125428,3702964668,603299098
606125429,3702964669,603299099
606125430,3702964670,603299100
606125431,3702964671,603299101
606125433,3702964673,603299103
606125434,3702964674,603299104
606125432,3702964672,603299102
606125435,3702964675,603299105
606125437,3702964677,603299107
606125436,3702964676,603299106
606125438,3702964678,603299108
606125439,3702964679,603299109
606125443,3702964683,603299113
606125442,3702964682,603299112
606125440,3702964680,603299110
606125441,3702964681,603299111
606125444,3702964684,603299114
606125452,3702964692,603299122
606125445,3702964685,603299115
606125446,3702964686,603299116
606125447,3702964687,603299117
606125449,3702964689,603299119
606125451,3702964691,603299121
606125448,3702964688,603299118
606125450,3702964690,603299120
606125453,3702964693,603299123
606125454,3702964694,603299124
606125455,3702964695,603299125
606125456,3702964696,603299126
606125457,3702964697,603299127
606125459,3702964699,603299129
606125458,3702964698,603299128
606125460,3702964700,603299130
606125464,3702964704,603299134
606125461,3702964701,603299131
606125462,3702964702,603299132
606125463,3702964703,603299133
606125465,3702964705,603299135
606125466,3702964706,603299136
606125467,3702964707,603299137
606125468,3702964708,603299138
606125470,3702964710,603299140
606125469,3702964709,603299139
606125472,3702964712,603299142
606125471,3702964711,603299141
606125504,3702964744,603299174
606125474,3702964714,603299144
606125473,3702964713,603299143
606125475,3702964715,603299145
606125479,3702964719,603299149
606125476,3702964716,603299146
606125481,3702964721,603299151
606125480,3702964720,603299150
606125482,3702964722,603299152
606125478,3702964718,603299148
606125477,3702964717,603299147
606125483,3702964723,603299153
606125485,3702964725,603299155
606125484,3702964724,603299154
606125488,3702964728,603299158
606125486,3702964726,603299156
606125489,3702964729,603299159
606125487,3702964727,603299157
606125523,3702964763,603299193
606125490,3702964730,603299160
606125491,3702964731,603299161
606125493,3702964733,603299163
606125492,3702964732,603299162
606125496,3702964736,603299166
606125494,3702964734,603299164
606125495,3702964735,603299165
606125497,3702964737,603299167
606125498,3702964738,603299169
606125499,3702964739,603299168
606125501,3702964741,603299171
606125500,3702964740,603299170
606125502,3702964742,603299172
606125503,3702964743,603299173
606125505,3702964745,603299175
606125506,3702964746,603299176
606125508,3702964748,603299178
606125510,3702964750,603299180
606125507,3702964747,603299177
606125509,3702964749,603299179
606125511,3702964751,603299181
606125513,3702964753,603299183
606125512,3702964752,603299182
606125514,3702964754,603299184
606125515,3702964755,603299185
606125516,3702964756,603299186
606125520,3702964760,603299190
606125518,3702964757,603299188
606125519,3702964759,603299189
606125517,3702964758,603299187
606125521,3702964761,603299191
606125522,3702964762,603299192
606125524,3702964764,603299194
606125525,3702964765,603299195
606125527,3702964767,603299197
606125528,3702964768,603299198
606125530,3702964770,603299200
606125529,3702964769,603299199
606125526,3702964766,603299196
606125531,3702964771,603299201
606125532,3702964772,603299202
606125534,3702964774,603299204
606125535,3702964775,603299205
606125537,3702964777,603299207
606125536,3702964776,603299206
606125538,3702964778,603299208
606125539,3702964779,603299209
606125542,3702964782,603299212
606125544,3702964784,603299214
606125541,3702964781,603299211
606125543,3702964783,603299213
606125540,3702964780,603299210
606125546,3702964786,603299216
606125545,3702964785,603299215
606125549,3702964789,603299219
606125548,3702964788,603299218
606125547,3702964787,603299217
606125551,3702964791,603299221
606125550,3702964790,603299220
606125552,3702964792,603299222
606125553,3702964793,603299223
606125554,3702964794,603299224
606125555,3702964795,603299225
606125556,3702964796,603299226
606125557,3702964797,603299227
606125559,3702964799,603299229
606125558,3702964798,603299228
606125560,3702964800,603299230
606125561,3702964801,603299231
606125562,3702964802,603299232
606125564,3702964804,603299234
606125563,3702964803,603299233
606125565,3702964805,603299235
606125567,3702964807,603299237
606125568,3702964808,603299238
606125566,3702964806,603299236
606125569,3702964809,603299239
606125570,3702964810,603299240
606125571,3702964811,603299241
606125572,3702964812,603299242
606125573,3702964813,603299243
606125575,3702964815,603299245
606125574,3702964814,603299244
606125576,3702964816,603299246
606125577,3702964817,603299247
606125582,3702964822,603299252
606125578,3702964818,603299248
606125580,3702964820,603299250
606125579,3702964819,603299249
606125581,3702964821,603299251
606125584,3702964824,603299254
606125583,3702964823,603299253
606125587,3702964827,603299257
606125585,3702964825,603299255
606125589,3702964829,603299259
606125588,3702964828,603299258
606125591,3702964831,603299261
606125590,3702964830,603299260
606125592,3702964832,603299262
606125593,3702964833,603299263
606125594,3702964834,603299264
606125598,3702964838,603299268
606125597,3702964837,603299267
606125595,3702964835,603299265
606125599,3702964839,603299269
606125596,3702964836,603299266
606125600,3702964840,603299270
606125602,3702964842,603299272
606125601,3702964841,603299271
606125605,3702964845,603299275
606125603,3702964843,603299273
606125606,3702964846,603299276
606125604,3702964844,603299274
606125607,3702964847,603299277
606125608,3702964848,603299278
606125610,3702964850,603299280
606125609,3702964849,603299279
606125611,3702964851,603299281
606125645,3702964885,603299315
606125612,3702964852,603299282
606125613,3702964853,603299283
606125614,3702964854,603299284
606125615,3702964855,603299285
606125616,3702964856,603299286
606125617,3702964857,603299287
606125618,3702964858,603299288
606125619,3702964859,603299289
606125620,3702964860,603299290
606125621,3702964861,603299291
606125622,3702964862,603299292
606125623,3702964863,603299293
606125625,3702964865,603299295
606125624,3702964864,603299294
606125626,3702964866,603299296
606125628,3702964868,603299298
606125627,3702964867,603299297
606125629,3702964869,603299299
606125630,3702964870,603299300
606125631,3702964871,603299301
606125635,3702964875,603299305
606125632,3702964872,603299302
606125634,3702964874,603299304
